ENA.Accession.Number,Isolate,Lane.accession,Sequecning Status,Year,CTZ,CTX,AMP,AMX,AMC,TZP,CXM,CET,GEN,TBM,TMP,CIP
ERS358009,11657_7#85,ERR434535,Previously sequenced,2010,S,S,,R,S,S,S,,S,,,S
ERS358018,11657_7#86,ERR434536,Previously sequenced,2010,S,S,,R,S,S,S,,S,,,S
ERS358052,11657_7#87,ERR434537,Previously sequenced,2010,S,S,,R,R,S,S,,S,,,S
ERS358077,11657_7#88,ERR434538,Previously sequenced,2011,S,S,,S,S,S,S,,S,,,S
ERS358150,11657_7#89,ERR434539,Previously sequenced,2005,I,R,,R,R,S,R,,S,,,R
ERS356962,11657_7#8,ERR434458,Previously sequenced,2010,S,S,R,,S,S,S,S,S,S,S,S
ERS358191,11657_7#90,ERR434540,Previously sequenced,2011,S,S,,S,S,S,S,,S,,,S
ERS358224,11657_7#91,ERR434541,Previously sequenced,2009,S,S,,R,S,S,S,,S,,,S
ERS358250,11657_7#92,ERR434542,Previously sequenced,2011,S,S,,R,R,S,S,,S,,,S
ERS358262,11657_7#93,ERR434543,Previously sequenced,2008,S,S,,R,R,S,S,,S,,,S
ERS358266,11657_7#94,ERR434544,Previously sequenced,2009,S,S,,R,S,S,S,,S,,,S
ERS358269,11657_7#95,ERR434545,Previously sequenced,2009,S,S,,R,S,S,S,,S,,,R
ERS358270,11657_7#96,ERR434546,Previously sequenced,2009,S,S,,S,S,S,S,,S,,,S
ERS356966,11657_7#9,ERR434459,Previously sequenced,2010,S,S,R,,S,S,S,S,S,S,S,R
ERS356996,11658_3#10,ERR434556,Previously sequenced,2011,S,S,S,,S,S,R,I,S,S,S,S
ERS357007,11658_3#11,ERR434557,Previously sequenced,2011,S,S,R,,R,S,S,S,S,S,S,S
ERS357008,11658_3#12,ERR434558,Previously sequenced,2011,S,S,S,,S,S,S,S,S,S,S,S
ERS357026,11658_3#13,ERR434559,Previously sequenced,2010,S,S,R,,R,S,R,R,R,R,R,R
ERS357130,11658_3#14,ERR434560,Previously sequenced,2012,S,S,S,,S,S,S,S,S,S,S,S
ERS357160,11658_3#19,ERR434565,Previously sequenced,2001,S,,,R,S,S,S,,S,,,S
ERS356789,11658_3#1,ERR434547,Previously sequenced,2007,S,S,S,,S,S,S,S,S,S,S,S
ERS357166,11658_3#20,ERR434566,Previously sequenced,2001,S,,,S,S,S,S,,S,,,S
ERS357167,11658_3#21,ERR434567,Previously sequenced,2001,S,,,S,S,S,S,,S,,,S
ERS357186,11658_3#22,ERR434568,Previously sequenced,2001,S,,,R,S,S,S,,S,,,S
ERS357192,11658_3#23,ERR434569,Previously sequenced,2001,S,,,S,S,S,S,,S,,,S
ERS357194,11658_3#24,ERR434570,Previously sequenced,2001,S,,,R,R,S,S,,R,,,R
ERS357304,11658_3#25,ERR434571,Previously sequenced,2002,S,S,,R,R,I,S,,S,,,S
ERS357307,11658_3#26,ERR434572,Previously sequenced,2002,S,S,,R,S,S,S,,S,,,S
ERS357311,11658_3#27,ERR434573,Previously sequenced,2002,S,S,,R,R,S,S,,R,,,S
ERS357317,11658_3#28,ERR434574,Previously sequenced,2002,S,S,,R,S,S,S,,S,,,S
ERS357333,11658_3#29,ERR434575,Previously sequenced,2003,S,S,,R,R,S,S,,S,,,S
ERS356933,11658_3#2,ERR434548,Previously sequenced,2010,S,I,R,,R,S,R,R,S,S,R,S
ERS357340,11658_3#30,ERR434576,Previously sequenced,2003,S,S,,S,S,S,S,,S,,,S
ERS357365,11658_3#31,ERR434577,Previously sequenced,2003,S,S,,R,R,R,S,,S,,,S
ERS357521,11658_3#32,ERR434578,Previously sequenced,2004,S,S,,R,S,S,S,,S,,,S
ERS357522,11658_3#33,ERR434579,Previously sequenced,2004,S,S,,R,S,S,S,,S,,,S
ERS357565,11658_3#34,ERR434580,Previously sequenced,2005,S,S,,S,S,S,S,,S,,,S
ERS357587,11658_3#35,ERR434581,Previously sequenced,2005,S,S,,S,S,S,S,,S,,,S
ERS357588,11658_3#36,ERR434582,Previously sequenced,2005,S,S,,S,S,S,S,,S,,,R
ERS357616,11658_3#37,ERR434583,Previously sequenced,2005,S,S,,R,R,S,S,,S,,,S
ERS357625,11658_3#38,ERR434584,Previously sequenced,2005,R,R,,R,R,S,R,,R,,,R
ERS357636,11658_3#39,ERR434585,Previously sequenced,2005,I,R,,R,S,S,R,,S,,,S
ERS356934,11658_3#3,ERR434549,Previously sequenced,2010,S,S,R,,S,S,S,S,S,S,R,I
ERS357661,11658_3#40,ERR434586,Previously sequenced,2006,S,S,,R,S,S,S,,S,,,S
ERS357688,11658_3#41,ERR434587,Previously sequenced,2007,S,S,,R,R,S,S,,S,,,S
ERS357693,11658_3#42,ERR434588,Previously sequenced,2007,S,S,,R,R,S,R,,I,,,R
ERS357719,11658_3#43,ERR434589,Previously sequenced,2007,S,S,,R,S,S,R,,S,,,S
ERS357738,11658_3#44,ERR434590,Previously sequenced,2008,S,S,,S,S,S,S,,S,,,S
ERS357744,11658_3#45,ERR434591,Previously sequenced,2009,S,S,,R,S,S,S,,S,,,S
ERS357766,11658_3#46,ERR434592,Previously sequenced,2006,S,S,,S,S,S,S,,S,,,S
ERS357770,11658_3#47,ERR434593,Previously sequenced,2006,S,S,,S,S,S,S,,S,,,S
ERS357783,11658_3#48,ERR434594,Previously sequenced,2006,S,S,,S,S,S,S,,S,,,S
ERS357784,11658_3#49,ERR434595,Previously sequenced,2006,S,S,,R,R,S,S,,S,,,S
ERS356947,11658_3#4,ERR434550,Previously sequenced,2010,S,S,S,,S,S,S,S,S,S,S,R
ERS357787,11658_3#50,ERR434596,Previously sequenced,2006,S,S,,S,S,S,S,,S,,,S
ERS357790,11658_3#51,ERR434597,Previously sequenced,2006,S,S,,S,S,S,S,,S,,,S
ERS357793,11658_3#52,ERR434598,Previously sequenced,2006,S,S,,S,S,S,S,,S,,,S
ERS357813,11658_3#53,ERR434599,Previously sequenced,2006,S,S,,R,R,S,S,,S,,,S
ERS357829,11658_3#54,ERR434600,Previously sequenced,2007,S,S,,R,R,S,S,,S,,,S
ERS357831,11658_3#55,ERR434601,Previously sequenced,2007,R,R,,R,S,S,R,,S,,,R
ERS357832,11658_3#56,ERR434602,Previously sequenced,2007,R,R,,R,R,S,R,,R,,,R
ERS357841,11658_3#57,ERR434603,Previously sequenced,2006,S,S,,R,S,S,S,,S,,,S
ERS357851,11658_3#58,ERR434604,Previously sequenced,2009,R,R,,R,R,S,R,,S,,,R
ERS357858,11658_3#59,ERR434605,Previously sequenced,2008,S,S,,R,S,S,S,,S,,,S
ERS356949,11658_3#5,ERR434551,Previously sequenced,2010,S,S,R,,R,S,S,I,S,S,R,S
ERS357867,11658_3#60,ERR434606,Previously sequenced,2008,S,S,,R,S,S,R,,S,,,S
ERS357882,11658_3#61,ERR434607,Previously sequenced,2008,S,S,,R,S,S,R,,S,,,S
ERS357889,11658_3#62,ERR434608,Previously sequenced,2008,S,S,,R,S,S,S,,S,,,S
ERS357894,11658_3#64,ERR434610,Previously sequenced,2008,S,S,,R,R,S,S,,S,,,I
ERS357899,11658_3#65,ERR434611,Previously sequenced,2006,S,S,,S,S,S,S,,S,,,R
ERS357945,11658_3#66,ERR434612,Previously sequenced,2009,S,S,,R,R,S,S,,S,,,S
ERS357948,11658_3#67,ERR434613,Previously sequenced,2009,S,S,,S,S,S,R,,S,,,S
ERS357958,11658_3#68,ERR434614,Previously sequenced,2009,S,S,,S,S,S,S,,S,,,S
ERS357962,11658_3#69,ERR434615,Previously sequenced,2009,S,S,,R,S,S,S,,S,,,S
ERS356978,11658_3#6,ERR434552,Previously sequenced,2010,S,S,S,,S,S,S,S,S,S,S,S
ERS357976,11658_3#70,ERR434616,Previously sequenced,2010,S,S,,S,S,S,S,,S,,,S
ERS357983,11658_3#71,ERR434617,Previously sequenced,2010,S,S,,S,S,S,S,,S,,,S
ERS357994,11658_3#72,ERR434618,Previously sequenced,2010,S,S,,R,S,S,S,,S,,,S
ERS358007,11658_3#73,ERR434619,Previously sequenced,2010,S,S,,S,S,S,R,,S,,,S
ERS358010,11658_3#74,ERR434620,Previously sequenced,2010,S,S,,R,R,R,R,,S,,,R
ERS358042,11658_3#75,ERR434621,Previously sequenced,2010,S,S,,S,S,S,S,,S,,,S
ERS358044,11658_3#76,ERR434622,Previously sequenced,2010,S,S,,R,S,S,S,,S,,,S
ERS358060,11658_3#77,ERR434623,Previously sequenced,2010,S,S,,R,S,S,S,,S,,,S
ERS358063,11658_3#78,ERR434624,Previously sequenced,2011,S,S,,R,S,S,S,,R,,,S
ERS358066,11658_3#79,ERR434625,Previously sequenced,2011,S,S,,S,S,S,S,,S,,,S
ERS356982,11658_3#7,ERR434553,Previously sequenced,2011,S,S,S,,S,S,S,S,S,S,S,S
ERS358076,11658_3#80,ERR434626,Previously sequenced,2011,S,S,,R,S,S,S,,S,,,S
ERS358083,11658_3#81,ERR434627,Previously sequenced,2011,S,S,,S,S,S,S,,S,,,S
ERS358088,11658_3#82,ERR434628,Previously sequenced,2011,S,S,,S,S,S,S,,S,,,S
ERS358097,11658_3#83,ERR434629,Previously sequenced,2011,S,S,,S,S,S,S,,S,,,S
ERS358102,11658_3#84,ERR434630,Previously sequenced,2011,S,S,,S,S,S,S,,S,,,R
ERS358124,11658_3#85,ERR434631,Previously sequenced,2010,S,S,,R,R,S,S,,S,,,S
ERS358137,11658_3#86,ERR434632,Previously sequenced,2011,S,S,R,,S,S,S,I,S,S,S,R
ERS358147,11658_3#87,ERR434633,Previously sequenced,2005,S,S,,S,S,S,S,,S,,,S
ERS358171,11658_3#88,ERR434634,Previously sequenced,2009,S,S,,R,R,S,S,,S,,,S
ERS358208,11658_3#89,ERR434635,Previously sequenced,2008,R,R,,R,R,S,R,,R,,,S
ERS356986,11658_3#8,ERR434554,Previously sequenced,2011,S,S,S,,S,S,S,I,S,S,S,S
ERS358212,11658_3#90,ERR434636,Previously sequenced,2012,S,S,R,,S,S,S,S,S,S,R,S
ERS358213,11658_3#91,ERR434637,Previously sequenced,2011,S,S,R,,S,S,S,S,S,S,R,S
ERS358228,11658_3#92,ERR434638,Previously sequenced,2008,S,S,,R,S,S,S,,S,,,S
ERS358254,11658_3#93,ERR434639,Previously sequenced,2011,S,S,,S,S,S,S,,S,,,S
ERS358255,11658_3#94,ERR434640,Previously sequenced,2011,R,R,,R,R,S,R,,R,,,R
ERS358258,11658_3#95,ERR434641,Previously sequenced,2007,S,S,,R,R,S,S,,S,,,S
ERS358267,11658_3#96,ERR434642,Previously sequenced,2009,S,S,,S,S,S,S,,S,,,S
ERS356993,11658_3#9,ERR434555,Previously sequenced,2011,S,S,R,,S,S,S,S,S,S,R,S
ERS356847,11658_4#10,ERR434652,Previously sequenced,2008,S,S,S,,S,S,S,S,S,S,S,S
ERS356858,11658_4#11,ERR434653,Previously sequenced,2009,S,S,R,,R,S,S,I,S,S,R,S
ERS356860,11658_4#12,ERR434654,Previously sequenced,2009,S,S,R,,R,S,S,I,S,S,R,S
ERS356861,11658_4#13,ERR434655,Previously sequenced,2009,S,R,R,,S,S,R,R,S,S,R,S
ERS356863,11658_4#14,ERR434656,Previously sequenced,2009,S,S,S,,S,S,S,S,S,S,S,S
ERS356872,11658_4#15,ERR434657,Previously sequenced,2009,S,S,S,,S,S,S,S,S,S,S,S
ERS356880,11658_4#16,ERR434658,Previously sequenced,2009,S,S,R,,S,S,S,S,S,S,R,S
ERS356892,11658_4#17,ERR434659,Previously sequenced,2009,S,S,S,,S,S,S,S,S,S,S,S
ERS356902,11658_4#18,ERR434660,Previously sequenced,2009,S,R,R,,R,S,R,R,S,R,R,R
ERS356907,11658_4#19,ERR434661,Previously sequenced,2009,S,S,R,,R,R,R,I,S,S,S,S
ERS356740,11658_4#1,ERR434643,Previously sequenced,2006,S,S,S,,S,S,R,I,S,S,S,S
ERS357027,11658_4#20,ERR434662,Previously sequenced,2010,S,S,S,,S,S,S,S,S,S,S,S
ERS357078,11658_4#21,ERR434663,Previously sequenced,2012,S,S,R,,R,I,S,I,S,S,R,S
ERS357082,11658_4#22,ERR434664,Previously sequenced,2012,S,S,S,,S,S,S,S,S,S,S,S
ERS357090,11658_4#23,ERR434665,Previously sequenced,2012,S,S,R,,R,,S,I,S,S,S,R
ERS357123,11658_4#24,ERR434666,Previously sequenced,2012,S,S,S,,S,S,S,S,S,S,S,S
ERS357125,11658_4#25,ERR434667,Previously sequenced,2012,S,S,R,,R,S,S,I,S,S,S,S
ERS357172,11658_4#26,ERR434668,Previously sequenced,2001,S,,,R,S,S,S,,S,,,R
ERS357191,11658_4#27,ERR434669,Previously sequenced,2001,S,,,R,S,S,S,,S,,,S
ERS357204,11658_4#28,ERR434670,Previously sequenced,2012,S,S,R,,R,S,S,I,S,S,R,S
ERS357213,11658_4#29,ERR434671,Previously sequenced,2001,S,,,R,S,S,S,,S,,,S
ERS356742,11658_4#2,ERR434644,Previously sequenced,2006,S,S,S,,S,S,S,S,S,S,S,S
ERS357226,11658_4#30,ERR434672,Previously sequenced,2001,S,,,R,R,S,S,,S,,,S
ERS357228,11658_4#31,ERR434673,Previously sequenced,2001,S,,,S,S,S,S,,S,,,S
ERS357230,11658_4#32,ERR434674,Previously sequenced,2001,S,,,R,S,S,S,,S,,,S
ERS357237,11658_4#33,ERR434675,Previously sequenced,2001,S,,,R,S,S,S,,S,,,S
ERS357239,11658_4#34,ERR434676,Previously sequenced,2002,S,S,,S,S,S,S,,S,,,S
ERS357249,11658_4#35,ERR434677,Previously sequenced,2002,S,S,,R,R,S,S,,S,,,R
ERS357253,11658_4#36,ERR434678,Previously sequenced,2002,S,S,,S,S,S,S,,S,,,S
ERS357260,11658_4#37,ERR434679,Previously sequenced,2002,S,S,,R,S,S,S,,S,,,S
ERS357275,11658_4#38,ERR434680,Previously sequenced,2002,S,S,,R,R,S,S,,S,,,S
ERS357288,11658_4#39,ERR434681,Previously sequenced,2002,S,S,,R,S,S,S,,S,,,S
ERS356747,11658_4#3,ERR434645,Previously sequenced,2007,S,S,R,,R,R,S,I,S,S,R,S
ERS357318,11658_4#40,ERR434682,Previously sequenced,2002,S,S,,S,S,S,S,,S,,,S
ERS357383,11658_4#41,ERR434683,Previously sequenced,2003,S,S,,S,S,S,S,,S,,,S
ERS357397,11658_4#42,ERR434684,Previously sequenced,2003,S,S,,R,R,S,S,,S,,,S
ERS357407,11658_4#43,ERR434685,Previously sequenced,2003,S,S,,S,S,S,S,,S,,,S
ERS357408,11658_4#44,ERR434686,Previously sequenced,2003,S,S,,S,S,S,S,,S,,,S
ERS357422,11658_4#45,ERR434687,Previously sequenced,2004,S,S,,S,S,R,S,,S,,,S
ERS357431,11658_4#46,ERR434688,Previously sequenced,2004,S,S,,R,R,R,S,,S,,,R
ERS357501,11658_4#47,ERR434689,Previously sequenced,2005,S,S,,S,S,S,S,,S,,,S
ERS357510,11658_4#48,ERR434690,Previously sequenced,2004,R,R,,R,R,S,R,,R,,,S
ERS357518,11658_4#49,ERR434691,Previously sequenced,2004,S,S,,S,S,S,S,,S,,,S
ERS356765,11658_4#4,ERR434646,Previously sequenced,2007,S,S,S,,S,S,S,S,S,S,S,S
ERS357541,11658_4#50,ERR434692,Previously sequenced,2004,S,S,,S,S,S,S,,S,,,S
ERS357544,11658_4#51,ERR434693,Previously sequenced,2004,S,S,,R,S,S,S,,S,,,S
ERS357545,11658_4#52,ERR434694,Previously sequenced,2004,S,S,,R,R,S,R,,S,,,R
ERS357558,11658_4#53,ERR434695,Previously sequenced,2005,S,S,,R,S,S,S,,S,,,S
ERS357559,11658_4#54,ERR434696,Previously sequenced,2005,S,S,,R,S,S,S,,S,,,S
ERS357563,11658_4#55,ERR434697,Previously sequenced,2005,S,S,,R,S,S,S,,S,,,S
ERS357572,11658_4#56,ERR434698,Previously sequenced,2005,S,S,,S,S,S,S,,S,,,S
ERS357575,11658_4#57,ERR434699,Previously sequenced,2005,S,S,,R,S,S,S,,S,,,S
ERS357580,11658_4#58,ERR434700,Previously sequenced,2005,S,S,,R,R,S,S,,R,,,S
ERS357634,11658_4#59,ERR434701,Previously sequenced,2005,I,R,,R,S,S,R,,S,,,S
ERS356766,11658_4#5,ERR434647,Previously sequenced,2007,S,S,R,,S,S,S,I,S,S,S,S
ERS357638,11658_4#60,ERR434702,Previously sequenced,2005,S,S,,R,R,S,S,,S,,,S
ERS357647,11658_4#61,ERR434703,Previously sequenced,2006,R,R,,R,R,R,R,,S,,,R
ERS357678,11658_4#62,ERR434704,Previously sequenced,2007,S,S,,S,S,S,R,,I,,,S
ERS357699,11658_4#63,ERR434705,Previously sequenced,2007,R,R,,R,R,S,R,,R,,,R
ERS357741,11658_4#64,ERR434706,Previously sequenced,2008,S,S,,S,S,S,R,,I,,,S
ERS357798,11658_4#65,ERR434707,Previously sequenced,2006,I,R,,R,R,I,R,,S,,,R
ERS357802,11658_4#66,ERR434708,Previously sequenced,2006,I,R,,R,R,I,R,,S,,,R
ERS357814,11658_4#67,ERR434709,Previously sequenced,2006,S,S,,R,R,R,R,,S,,,R
ERS357825,11658_4#68,ERR434710,Previously sequenced,2006,S,S,,R,S,S,S,,S,,,R
ERS357861,11658_4#69,ERR434711,Previously sequenced,2007,S,S,,S,S,S,S,,S,,,S
ERS356804,11658_4#6,ERR434648,Previously sequenced,2008,S,S,S,,S,S,S,I,S,S,S,S
ERS357870,11658_4#70,ERR434712,Previously sequenced,2008,S,S,,R,R,S,S,,S,,,S
ERS357874,11658_4#71,ERR434713,Previously sequenced,2008,S,S,,R,R,S,S,,S,,,S
ERS357881,11658_4#72,ERR434714,Previously sequenced,2008,S,S,,R,R,S,S,,R,,,S
ERS357886,11658_4#73,ERR434715,Previously sequenced,2008,S,S,,S,S,S,S,,S,,,S
ERS357920,11658_4#74,ERR434716,Previously sequenced,2009,R,R,,R,R,I,R,,R,,,R
ERS357933,11658_4#75,ERR434717,Previously sequenced,2009,S,S,,R,R,S,S,,S,,,S
ERS357937,11658_4#76,ERR434718,Previously sequenced,2008,S,S,,R,S,S,S,,S,,,S
ERS357939,11658_4#77,ERR434719,Previously sequenced,2008,S,S,,S,S,S,R,,R,,,R
ERS357953,11658_4#78,ERR434720,Previously sequenced,2009,S,S,,S,S,S,S,,S,,,S
ERS357955,11658_4#79,ERR434721,Previously sequenced,2009,S,S,,R,S,S,S,,S,,,S
ERS356826,11658_4#7,ERR434649,Previously sequenced,2008,S,S,S,,S,S,S,I,S,S,S,S
ERS357961,11658_4#80,ERR434722,Previously sequenced,2009,I,R,,R,R,S,R,,S,,,R
ERS357968,11658_4#81,ERR434723,Previously sequenced,2009,R,R,,R,R,S,R,,S,,,R
ERS357978,11658_4#82,ERR434724,Previously sequenced,2010,S,S,,R,R,S,S,,S,,,S
ERS357981,11658_4#83,ERR434725,Previously sequenced,2010,S,S,,R,S,S,S,,S,,,S
ERS357984,11658_4#84,ERR434726,Previously sequenced,2010,S,S,,S,S,S,S,,S,,,S
ERS357988,11658_4#85,ERR434727,Previously sequenced,2010,S,S,,R,S,S,S,,R,,,R
ERS357995,11658_4#86,ERR434728,Previously sequenced,2010,S,S,,S,S,S,S,,S,,,S
ERS358016,11658_4#87,ERR434729,Previously sequenced,2010,S,S,,R,S,S,S,,S,,,S
ERS358019,11658_4#88,ERR434730,Previously sequenced,2010,S,S,,R,S,S,S,,S,,,S
ERS358032,11658_4#89,ERR434731,Previously sequenced,2009,S,S,,S,S,S,S,,S,,,S
ERS356832,11658_4#8,ERR434650,Previously sequenced,2008,S,S,R,,S,S,S,I,S,S,S,S
ERS358090,11658_4#90,ERR434732,Previously sequenced,2011,S,S,,R,S,S,S,,S,,,S
ERS358101,11658_4#91,ERR434733,Previously sequenced,2011,S,S,,S,S,S,S,,S,,,S
ERS358111,11658_4#92,ERR434734,Previously sequenced,2010,S,S,,R,R,S,S,,S,,,R
ERS358127,11658_4#93,ERR434735,Previously sequenced,2011,S,S,,R,S,S,S,,R,,,S
ERS358131,11658_4#94,ERR434736,Previously sequenced,2004,S,S,,S,S,S,S,,S,,,S
ERS358197,11658_4#95,ERR434737,Previously sequenced,2011,S,S,,S,S,S,S,,S,,,S
ERS358221,11658_4#96,ERR434738,Previously sequenced,2005,S,S,,R,S,S,S,,S,,,S
ERS356835,11658_4#9,ERR434651,Previously sequenced,2008,S,S,S,,S,S,S,I,S,S,S,S
ERS356773,11658_5#10,ERR434748,Previously sequenced,2007,S,S,R,,R,S,S,I,S,S,R,S
ERS356775,11658_5#11,ERR434749,Previously sequenced,2007,S,S,R,,R,S,S,I,R,I,R,R
ERS356783,11658_5#12,ERR434750,Previously sequenced,2007,S,S,R,,R,S,S,I,S,S,S,I
ERS356785,11658_5#13,ERR434751,Previously sequenced,2007,S,S,S,,S,S,S,S,S,S,S,S
ERS356787,11658_5#14,ERR434752,Previously sequenced,2007,S,S,R,,S,S,S,I,S,S,S,R
ERS356801,11658_5#15,ERR434753,Previously sequenced,2008,S,S,S,,S,S,S,S,S,S,S,S
ERS356812,11658_5#16,ERR434754,Previously sequenced,2008,S,S,R,,S,S,S,I,S,S,I,S
ERS356822,11658_5#17,ERR434755,Previously sequenced,2008,S,S,S,,S,S,S,S,S,S,S,S
ERS356823,11658_5#18,ERR434756,Previously sequenced,2008,S,S,S,,S,S,S,S,S,S,S,S
ERS356831,11658_5#19,ERR434757,Previously sequenced,2008,S,R,R,,R,S,R,R,S,R,R,R
ERS356743,11658_5#1,ERR434739,Previously sequenced,2006,S,S,R,,S,S,S,I,S,S,R,R
ERS356838,11658_5#20,ERR434758,Previously sequenced,2008,S,S,R,,S,S,S,S,S,S,S,S
ERS356839,11658_5#21,ERR434759,Previously sequenced,2008,S,S,S,,S,S,S,S,S,S,S,S
ERS356840,11658_5#22,ERR434760,Previously sequenced,2008,S,S,R,,R,S,S,I,S,S,R,R
ERS356841,11658_5#23,ERR434761,Previously sequenced,2008,S,S,R,,S,S,S,S,S,S,S,S
ERS356846,11658_5#25,ERR434763,Previously sequenced,2008,S,S,S,,S,S,S,S,S,S,S,S
ERS356850,11658_5#26,ERR434764,Previously sequenced,2008,R,R,R,,R,S,R,R,S,R,R,R
ERS356851,11658_5#27,ERR434765,Previously sequenced,2008,S,S,R,,R,S,R,R,S,S,S,S
ERS356855,11658_5#28,ERR434766,Previously sequenced,2009,I,R,R,,R,S,R,R,S,R,R,R
ERS356859,11658_5#29,ERR434767,Previously sequenced,2009,S,S,R,,R,R,S,I,S,S,S,S
ERS356744,11658_5#2,ERR434740,Previously sequenced,2007,I,R,R,,R,S,R,R,S,R,R,R
ERS356864,11658_5#30,ERR434768,Previously sequenced,2009,S,S,R,,R,S,S,R,S,S,S,S
ERS356867,11658_5#31,ERR434769,Previously sequenced,2009,S,S,S,,S,S,S,S,S,S,S,S
ERS356875,11658_5#32,ERR434770,Previously sequenced,2009,S,S,R,,S,S,S,S,S,S,S,S
ERS356878,11658_5#33,ERR434771,Previously sequenced,2009,S,S,R,,R,S,S,I,S,S,S,S
ERS356884,11658_5#34,ERR434772,Previously sequenced,2009,S,S,S,,S,S,S,S,S,S,R,S
ERS356885,11658_5#35,ERR434773,Previously sequenced,2009,S,S,S,,S,S,S,S,S,S,S,S
ERS356893,11658_5#36,ERR434774,Previously sequenced,2009,S,S,R,,R,R,S,I,S,S,S,S
ERS356894,11658_5#37,ERR434775,Previously sequenced,2009,S,S,S,,S,S,S,I,S,S,S,S
ERS356900,11658_5#38,ERR434776,Previously sequenced,2009,I,S,R,,R,S,R,R,S,S,R,R
ERS356746,11658_5#3,ERR434741,Previously sequenced,2007,S,S,R,,S,S,S,I,S,S,R,R
ERS356915,11658_5#40,ERR434778,Previously sequenced,2009,S,S,S,,S,S,S,S,S,S,S,S
ERS356916,11658_5#41,ERR434779,Previously sequenced,2009,S,S,S,,S,S,S,I,S,S,R,R
ERS356927,11658_5#42,ERR434780,Previously sequenced,2010,S,S,R,,S,S,S,I,S,S,S,S
ERS357033,11658_5#43,ERR434781,Previously sequenced,2011,S,S,R,,R,S,S,S,S,S,S,S
ERS357035,11658_5#44,ERR434782,Previously sequenced,2011,I,R,R,,R,S,R,R,R,R,S,R
ERS357042,11658_5#45,ERR434783,Previously sequenced,2011,S,S,R,,R,S,S,I,S,S,R,R
ERS357043,11658_5#46,ERR434784,Previously sequenced,2011,S,S,S,,S,S,S,S,S,S,S,S
ERS357044,11658_5#47,ERR434785,Previously sequenced,2011,S,S,S,,S,S,S,S,S,S,S,S
ERS357068,11658_5#49,ERR434787,Previously sequenced,2012,S,S,R,,S,S,S,S,S,S,S,S
ERS356748,11658_5#4,ERR434742,Previously sequenced,2007,S,S,R,,R,S,S,I,S,S,R,S
ERS357075,11658_5#50,ERR434788,Previously sequenced,2012,S,S,R,,S,S,S,I,S,S,R,S
ERS357076,11658_5#51,ERR434789,Previously sequenced,2012,S,S,R,,S,S,S,S,S,S,S,S
ERS357083,11658_5#52,ERR434790,Previously sequenced,2012,S,S,S,,S,S,S,R,S,S,S,S
ERS357093,11658_5#53,ERR434791,Previously sequenced,2012,S,S,S,,S,S,S,I,S,S,S,S
ERS357096,11658_5#54,ERR434792,Previously sequenced,2012,S,S,S,,S,S,S,S,S,S,S,S
ERS357097,11658_5#55,ERR434793,Previously sequenced,2012,S,S,S,,S,S,S,S,S,S,S,S
ERS357099,11658_5#56,ERR434794,Previously sequenced,2011,S,S,S,,S,S,S,S,S,S,S,S
ERS357104,11658_5#57,ERR434795,Previously sequenced,2012,S,S,R,,R,S,S,I,S,S,S,S
ERS357212,11658_5#58,ERR434796,Previously sequenced,2001,S,,,S,S,S,S,,S,,,S
ERS357217,11658_5#59,ERR434797,Previously sequenced,2001,S,,,R,S,S,S,,S,,,S
ERS356752,11658_5#5,ERR434743,Previously sequenced,2007,S,S,R,,R,S,S,I,S,S,R,R
ERS357220,11658_5#60,ERR434798,Previously sequenced,2001,S,,,S,S,S,R,,S,,,S
ERS357225,11658_5#61,ERR434799,Previously sequenced,2001,S,,,R,S,S,S,,S,,,S
ERS357257,11658_5#62,ERR434800,Previously sequenced,2002,S,S,,S,S,S,S,,S,,,S
ERS357259,11658_5#63,ERR434801,Previously sequenced,2002,S,S,,R,R,S,S,,S,,,S
ERS357265,11658_5#64,ERR434802,Previously sequenced,2002,S,S,,S,S,S,S,,S,,,S
ERS357282,11658_5#65,ERR434803,Previously sequenced,2002,S,S,,S,S,S,S,,S,,,S
ERS357394,11658_5#66,ERR434804,Previously sequenced,2003,S,S,,R,R,S,S,,S,,,S
ERS357403,11658_5#67,ERR434805,Previously sequenced,2003,S,S,,R,S,S,S,,S,,,S
ERS357426,11658_5#68,ERR434806,Previously sequenced,2004,S,S,,S,S,I,S,,S,,,S
ERS357428,11658_5#69,ERR434807,Previously sequenced,2004,S,S,,S,S,S,S,,S,,,R
ERS356762,11658_5#6,ERR434744,Previously sequenced,2007,S,S,S,,S,S,S,S,S,S,S,S
ERS357437,11658_5#70,ERR434808,Previously sequenced,2004,S,S,,S,S,I,S,,S,,,S
ERS357439,11658_5#71,ERR434809,Previously sequenced,2004,S,S,,S,S,I,S,,S,,,S
ERS357443,11658_5#72,ERR434810,Previously sequenced,2004,S,S,,S,S,I,S,,S,,,S
ERS357452,11658_5#73,ERR434811,Previously sequenced,2004,S,S,,S,S,S,S,,S,,,S
ERS357454,11658_5#74,ERR434812,Previously sequenced,2004,S,S,,R,S,R,S,,S,,,S
ERS357455,11658_5#75,ERR434813,Previously sequenced,2004,S,S,,S,S,S,S,,S,,,S
ERS357472,11658_5#76,ERR434814,Previously sequenced,2002,S,S,,S,S,S,S,,S,,,S
ERS357477,11658_5#77,ERR434815,Previously sequenced,2002,S,S,,R,R,R,S,,S,,,I
